product_id,date,stock_received,damaged_stock,source,damage_rate_pct
153019,2023-03-17,4,2,daily_feed,50.0
848226,2023-03-17,4,2,daily_feed,50.0
965755,2023-03-17,1,0,daily_feed,0.0
39154,2023-03-17,4,0,daily_feed,0.0
34186,2023-03-17,3,2,daily_feed,66.66666666666666
478531,2023-03-17,4,2,daily_feed,50.0
812607,2023-03-17,4,0,daily_feed,0.0
818990,2023-03-17,4,0,daily_feed,0.0
14145,2023-03-17,0,2,daily_feed,0.0
847349,2023-03-17,0,2,daily_feed,0.0
284460,2023-03-17,4,0,daily_feed,0.0
77308,2023-03-17,0,2,daily_feed,0.0
654297,2023-03-17,4,2,daily_feed,50.0
376447,2023-03-17,4,0,daily_feed,0.0
217710,2023-03-17,0,2,daily_feed,0.0
888807,2023-03-17,1,0,daily_feed,0.0
41853,2023-03-17,4,0,daily_feed,0.0
257719,2023-03-17,4,0,daily_feed,0.0
741341,2023-03-17,0,2,daily_feed,0.0
500633,2023-03-17,0,2,daily_feed,0.0
799952,2023-03-17,3,0,daily_feed,0.0
833557,2023-03-17,4,0,daily_feed,0.0
324809,2023-03-17,1,0,daily_feed,0.0
455083,2023-03-17,0,2,daily_feed,0.0
592784,2023-03-17,3,0,daily_feed,0.0
578097,2023-03-17,0,2,daily_feed,0.0
487065,2023-03-17,4,0,daily_feed,0.0
734789,2023-03-17,4,0,daily_feed,0.0
949818,2023-03-17,0,2,daily_feed,0.0
654623,2023-03-17,4,0,daily_feed,0.0
378230,2023-03-17,0,2,daily_feed,0.0
990993,2023-03-17,1,0,daily_feed,0.0
762527,2023-03-17,4,0,daily_feed,0.0
602241,2023-03-17,1,2,daily_feed,200.0
491521,2023-03-17,3,0,daily_feed,0.0
832348,2023-03-17,3,2,daily_feed,66.66666666666666
567671,2023-03-17,4,0,daily_feed,0.0
991434,2023-03-17,0,2,daily_feed,0.0
540618,2023-03-17,3,0,daily_feed,0.0
107548,2023-03-17,0,2,daily_feed,0.0
687218,2023-03-17,3,2,daily_feed,66.66666666666666
328457,2023-03-17,3,0,daily_feed,0.0
300159,2023-03-17,3,2,daily_feed,66.66666666666666
378676,2023-03-17,3,0,daily_feed,0.0
532965,2023-03-17,4,0,daily_feed,0.0
305754,2023-03-17,1,0,daily_feed,0.0
